post_id,display_name,comment_text
2954,"Joel Spolsky","@Jaco Pretorius It's hard to get 17 people to finish in 10-15 minutes. Also, they were well structured - everyone had 1-2 minutes to say what they did yesterday, what they were going to do today, and what they needed from any other people."
4718,"Joel Spolsky","Please explain "the most important feature"". Rails is nothing more than an MVC framework for the Ruby language. That captures everything about it.""
5074,"Joel Spolsky","You might be interested in http://ui.stackexchange.com/questions/1080/using-sign-in-vs-using-log-in and http://ui.stackexchange.com/questions/626/exit-or-log-out-to-leave-your-session"
20634,"Joel Spolsky","Rapid Development and Software Project Survival Guide are the course books for my university's Software Engineering Process and Project Management course. Rapid Development is required for that course, and I highly recommend having it."
20634,"Joel Spolsky","My department uses quite a few classic texts - the Gang of Four book in Engineering of Software Subsystems, Code Complete is recommended in two different courses, and Weiger's Software Requirements is used in the requirements engineering course. And upper-class students typically recommend books like Pragmatic Programmer, Mythical Man Month, and Peopleware to underclassmen."
21842,"Joel Spolsky","Honestly, all of those bullet points describes a good engineer. Especially 1, 2, and 4."
21898,"Joel Spolsky","Because what people are taught is computer science, not software engineering. This problem would go away if universities and students realized that computer science != software engineering, computer science is a science, computer science is not about programming, and software engineering is about more than programming."
22051,"Joel Spolsky","If you want to know how they "cramp up all that is needed for Software Engineering on an undergraduate degree"""
22051,"Joel Spolsky","It's a quarter system, meaning that it's the exact same workload as a CS degree (or any other undergraduate degree) from the same university. In the end, it's 4 years of classes (10 weeks of classes, 1 week of exams per quarter, 3 quarters per year), 1 year of co-op."
24384,"Joel Spolsky","It's supposed to be zero, one, and infinity: http://en.wikipedia.org/wiki/Zero_One_Infinity"
24371,"Joel Spolsky","Programming isn't CS theory. In fact, I could easily argue that programming isn't computer science at all."
22151,"Joel Spolsky","Although it's called "Enterprise Application Architecture"""
24127,"Joel Spolsky","@Uberto That's why everyone should read this book. It explains why and how to use each pattern along with when you probably should consider something else. If more people read the entire pattern entry, I think a lot of those problems would go away."
24371,"Joel Spolsky","Still don't think that programming is CS. Programming MIGHT be useful to a computer scientist who wants to implement an algorithm or data structure, but topics in CS theory (from my Intro to CS Theory book, so there are probably more advanced topics as well) include logic, automata theory, graph theory, computability, computational complexity, and analysis of algorithms. I would also say that programming languages (the theory behind the design and implementation of a language) is also part of computer science. However, you don't need to be able to program to be a good computer scientist."
24371,"Joel Spolsky","Yeah. From CS, I would say understanding programming languages and paradigms might help (especially if you are implementing DSLs, but knowing many paradigms like procedural, functional, OO, logic just helps in software development). Understanding algorithms and data structures also helps you choose the right one(s) to solve your problem in the most efficient way. Automata theory might help (I worked with a system that was a giant FSM once, but I don't know how common that is). So I would say data structures, algorithms, and PL theory would be the most useful things to know from CS."
24384,"Joel Spolsky","@Steven My understanding might not be 100%, here, but I think the idea is that you have none of something, a single thing, or the number of things that you have should be unbounded. If you aren't limiting to no or one instance, then you should not limit the instances. However, I'm not entirely sure WHY this is the case (I'm only vaguely familiar with the Zero/One/Infinity concept)."
3001,"Joel Spolsky","Although Pragmatic Programmer might be considered one, Code Complete definitely isn't a career guidance book."
30359,"Joel Spolsky","Pencil and paper or a whiteboard is faster than most applications that I've used."
30354,"Joel Spolsky","The only problem with this is that there is no validation. Any logic as to what a valid Bottle is should be in the Bottle class. However, using your proposed implementation, I can have a bottle with a negative height and diameter - there's no way to enforce any business rules on the object without validating every time the object is used. By using the second method, I can ensure that if I have a Bottle object, it was, is, and always will be a valid Bottle object according to my contract."
30354,"Joel Spolsky","@user9521 After I'm done testing, debugging, verifying, and validating, I trust my code. But I don't trust clients. You should always write code as if the client is malicious or is going to attempt to put the application into an illegal state in an attempt to exploit it."
32542,"Joel Spolsky","They are good to know, but these aren't CS subjects."
32542,"Joel Spolsky","Programming isn't a CS activity, by the strictest definition of what CS is. And just because a course is part of the curriculum doesn't mean it's in that field."
33953,"Joel Spolsky","None. It's a methodology that is independent of all languages, frameworks, and tools."
33953,"Joel Spolsky","@jkohlhepp This isn't about developer productivity at all. It's about adhering to a specific process or methodology. You can choose to follow the principles of RAD with any language and saying that one language makes following RAD easier is just wrong."
33953,"Joel Spolsky","@jkohlhepp RAD isn't a buzzword, though. It's a well-defined software engineering process methodology. By definition of what a software engineering process methodology is, it must be independent of frameworks and languages."
25730,"Joel Spolsky","PSP can be tailored to include only the measurements that are relevant. This is a key point in the PSP books "A Discipline for Software Engineering"" and ""PSP: A Self-Improvement Process for Software Engineers"".""
55894,"Joel Spolsky","If black-box testers are involved too much, however, they will have an understanding of the design and implementation, and won't be able to effectively carry out black box testing."
62063,"Joel Spolsky","Mercurial was also designed for use in Linux kernel development. However, Linus was pretty much "no"
65140,"Joel Spolsky","I would nix Scrum. You don't have enough people to carry out all of the roles. The roles in Scrum just don't break down if you have fewer than 5 or 6 people."
79799,"Joel Spolsky","I disagree. UML is a great prototyping tool when used properly. You can learn a lot about how classes and objects interact through the proper use of various diagrams."
80836,"Joel Spolsky","I actually wasn't looking for specifically how to lay out files within a project, but how to lay out a number of projects within the service used."
80836,"Joel Spolsky","What I'm looking for are any conventions that exist within each community, if there's anything out of the ordinary. In my experiences, things like BitBucket, GitHub, and SourceForge are more of communities with norms and conventions than simply services (although some people use them like services)."
80836,"Joel Spolsky","So in your answer, since you favor BitBucket, is there anything I should know about structuring my projects across my bitbucket account for maximum efficiency/ease of use so I don't end up fighting the system?"
80836,"Joel Spolsky","I'm not expanding the scope, but I can try to clarify the second part of my question."
80947,"Joel Spolsky","If you decide to go this route, the Project Management Institute is well respected. The requirements for the Certified Associate in Project Management (http://www.pmi.org/en/Certification/Certified-Associate-in-Project-Management-CAPM.aspx) requires 1500 of experience or 23 hours of PM education. You might have this and qualify to take it. It wouldn't be a guarantee, but it would be a step in the right direction."
80952,"Joel Spolsky","@MHarrison Companies that you are interviewing with aren't fine with you wanting to be a PM in 5 years? That's interesting. What industries are you working in? My primary interest is in defense and intelligence (both government and defense contractor), and a 5-7 year window of developer to PM is typical (moreso on the government side of things, though) if you stay within an organization. I'm not sure how other industries operate...I've been told that it takes closer to 10-12 years to become a PM in some."
80985,"Joel Spolsky","In addition to what @Yannis Rizos says, you can use it to track/improve estimates and find time sinks in your day. It's just an all around good practice."
81263,"Joel Spolsky","There are other tools besides Selenium, as well. I've never used it, but Watir can be used to automated testing across a number of browsers. Some people I know prefer Watir to Selenium, but it depends on your (and your team's) background and knowledge."
81300,"Joel Spolsky","There's a quote about this, but most of my books are still packed away. Something about the engineers themselves being the best at scheduling, so they should be involved in the scheduling of a project from Day 1. I want to say that comes from Steve McConnell's Rapid Development, but I can't be sure."
81503,"Joel Spolsky","@Jörg W Mittag, can you provide some examples of tools like what you describe?"
81674,"Joel Spolsky","Similar, but I'm going to go with not a duplicate. This is explicitly asking about cost/effort of creating diagrams and if this cost/effort is worth it."
81676,"Joel Spolsky","My experiences are in the defense and intelligence industries (mostly US government and defense contractors), where there is significantly more up-front planning, even in more agile projects. In my experiences, at least informal models are almost always produced. A little time and money up front saves quite a bit downstream, especially when you are dealing with mission critical software, or components that might be integrated with a mission critical software suite."
81676,"Joel Spolsky","I just added a discussion of cost/time citing Steve McConnell's Rapid Development and Software Project Survival Guide."
81838,"Joel Spolsky","To clarify, do you mean "Factory Method"" when you say ""Factory Pattern""? If you are talking about the Gang of Four patterns"
81732,"Joel Spolsky","The best thing to do would be to get some kind of requirements done, either in the form of an SRS or user stories or use cases, and then ask very specific questions about how to address situations that you don't know, with mentions of the specific requirements that are driving and/or constraining your solution."
82160,"Joel Spolsky","I don't know where you are getting the idea that many products never reach that stage. Over $70 billion is spent on maintenance in the US alone every year. The number of lines of source code being maintained is approaching 300 billion. That's a lot of projects in maintenance phases."
82174,"Joel Spolsky","It depends on the duration of the project. For a long term project that will be entering a maintenance phase, this would have a huge impact on the bottom line. On the other hand, if the project was a short-term rapid prototyping (especially if it was a throwaway prototype), then no, this is of little value."
82174,"Joel Spolsky","@deterb That would be an interesting perspective. But I'm not entirely sure how I would explain "technical debt"" to a manager. I can show him work by McConnell"
82174,"Joel Spolsky","Thanks for that link. I'm going to bookmark it and read it when I get a chance."
82429,"Joel Spolsky","FPA is? Function Point Analysis?"
82429,"Joel Spolsky","@Scrooge: No, Scrum is a particular methodology that is part of the agile family. There are a lot of different agile methods, such as Crystal, XP, and the Agile Unified Process."
82429,"Joel Spolsky","Another question as I'm working on my answer: Why are you using FPA? Function points are a measure of functionality. When combined with time, it's a metric that shows productivity. Scrum already has measurements and metrics for this - user stories, story points, and velocity. It honestly sounds like an overall process problem to me."
82461,"Joel Spolsky","I would consult a lawyer for more information, but if you only use the application from a user's perspective and are able to figure out what it does and write it yourself without communicating with anyone with knowledge of the actual implementation, you have performed clean room design and should be fine. Of course, someone with legal experience is he best way to go."
82647,"Joel Spolsky","That's a very good point, and one that I overlooked. Choosing the right tool (algorithm, data structure, library) for the job. At that point, you begin making memory/space trade-offs by choosing one option out of several."
82646,"Joel Spolsky","@ammoQ True. That said, I've done very little web development, but typically, there are two JavaScript files - the fully commented and readable one and the minimized one which is designed to reduce size. Developers working on the script don't touch the minimized file."
82646,"Joel Spolsky","!ammoQ In JavaScript (along with HTML and CSS), you are dealing with sending the file over a network. You are trying to improve that performance with minimization. The question is referring to the performance of the code itself - my understanding there's no difference in performance between the minimized code and the original code, once it has been delivered to the client. Therefore, minimization has nothing to do with the optimization of the code, a separate issue all together."
82709,"Joel Spolsky","I just want to confirm - the client is asking you to make an estimate for software to be built by someone else, and you will not be leading the team that is actually building the software?"
82751,"Joel Spolsky","I was under the impression that Burn Down Charts shows work remaining on a sprint in terms of story points while a Burn Up Chart shows the total delivered earned value to the customer. Story points and earned value are different - story points relate to time and effort required to complete the tasks as assigned by developers and earned value is the worth of each story as assigned by the product owner. Burn Down focuses on a per-sprint basis for developers, while Burn Up focuses on project level for managers and customers. Is this not the case?"
82761,"Joel Spolsky","Something that concerns me is the measurement of velocity in days. Velocity is points per unit of time (typically points per sprint). Defining velocity in terms of time doesn't make that much sense to me. I'm pretty sure that Focus Factor depends on duration and velocity, which is why I'm questioning your measurement of velocity."
82763,"Joel Spolsky","There's an interesting discussion at http://c2.com/cgi/wiki?NonFunctionalRequirements but I haven't found anything that provides a definitive answer."
82761,"Joel Spolsky","I think @azheglov's answer pretty much addresses it."
82770,"Joel Spolsky","I'e never heard of Kniberg - could you elaborate on how you make your first estimates if your stories have points, and then later make the transition? I was taught that your first sprints, the development team uses their collective experiences to pull down enough tasks to keep them busy for the sprint. If it's over, you pull down less on the next sprint and if it's under, you pull down more points before the sprint is over."
82798,"Joel Spolsky","I think your paragraph about university departments not supporting some internships hits home. At my university, we had three groups at play - the department, the co-op/career office, and a student organization. For anything to count for academic credit, the department (typically with the career office) had to approve it. Even if it was approved, if lots of people were unhappy there, you could find out from them. But given the small and tightly knit nature of the department and students, you can get the real scoop on a lot of places that hired co-ops from students who had worked there."
82820,"Joel Spolsky","Where in your education are you? Are any software process and project management courses on your roadmap?"
82820,"Joel Spolsky","@Jarrod Roberson Scrum is designed for teams of 5-7 developers plus supporting people, not for individual developers working on personal projects. You can't have a stand up meeting. You can't separate the Scrum Master, Scrum Team, Product Owner, and Stakeholders."
73184,"Joel Spolsky","I've never heard of the term "centralized integration"" before. I can take what I would assume is a pretty good guess based on your question"
83003,"Joel Spolsky","SDS is "Software Design Specification"". He uses that phrase earlier in the post"
83179,"Joel Spolsky","I was taught how to use a debugger in my first-year CS sequence, and have frequently used them throughout my education and work. I find it difficult to believe that places don't teach how to use them, but find it more likely that the student doesn't see the advantages and therefore doesn't learn."
83226,"Joel Spolsky","I wouldn't expect you to know everything, but I would expect that anyone working on a particular subsystem would know that subsystem inside and out. I would consider that knowledge caring about your work."
83557,"Joel Spolsky","I think this is the best solution for your current situation, but you should talk about it with your team. However, you do have a bigger problem, which is the lack of a coding standard."
83430,"Joel Spolsky","The thing is that most of the research has been put toward working with teams. To the best of my knowledge, only the PSP has been designed for use by a single engineer. And even within that, the PSP is focused on specifying how to track data to identify areas for improvement and provides only a few high level tasks that might help improve software quality, with no specifics on how to carry out those tasks."
83814,"Joel Spolsky","You describe him as a "great developer"""
85342,"Joel Spolsky","Actually, quite a few places I applied to used automated parsing of your resume. This allows them to pick out keywords, like "Java"""
85353,"Joel Spolsky","You use the phrase "development methodology"" and then say it's about organizing code. That's not true - development methodology refers specifically to process. Examples of development methodologies are iterative"
19449,"Joel Spolsky","@Rei Miyasaka - IronPython 2.7 was released on March 21, 2011, just about 2 months ago. IronRuby was released just weeks before that, on March 13, 2011. I see no indications that either has been ditched by Microsoft since then."
19449,"Joel Spolsky","That's not "ditched"". It's just not officially backed by Microsoft anymore. The projects still exist and are viable solutions for running Ruby and Python on the .NET framework.""
85342,"Joel Spolsky","@Job I don't know what's so hard to believe about that. Especially since I've been developing software for 6 years now, and have been employed in the field on-and-off between courses for 5 years, for a total of 2 years of work experience."
85355,"Joel Spolsky","@glenviewjeff That's not how the term "paradigm"" is defined when referring to a programming paradigm. In this context"
85355,"Joel Spolsky","@Tom Anderson @glenviewjeff The reason that it is indeed a paradigm is that it changes the way you think about a problem. A feature makes it easier to solve a problem, but doesn't change the way you think. An example of a feature is a for-each loop - it doesn't change how you think about a problem involving iterating over a collection, but it makes it easier to do so. A paradigm drastically changes how you reach your solution, and I believe that AOP does this. Without AOP, your solution would be very, very different than with AOP."
85606,"Joel Spolsky","It's been a while since I took an economics course, but I think means of production refers to the tools and infrastructure that you need to produce wealth. I believe the asker is referring to is an individual software developer having free access to everything needed to produce and sell software."
85610,"Joel Spolsky","True, although some of them can provide one of the needs. Farming can produce food and clothing. Carpentry can provide shelter. Smithing might lead to some semblance of clothing (or components of clothing). Software provides none of the basic human needs."
85613,"Joel Spolsky","@Dmitri I've never used Git, but yes, it's fairly simple on Mercurial. It took me about 10-15 minutes, and that was the first time when I was switching between the docs and actually doing things."
85691,"Joel Spolsky","MVP? I've heard of MVVM and MVC, but what is MVP? Could you spell it out somewhere in your question?"
85691,"Joel Spolsky","@Robert Thanks. Now that I read that, I have heard about it. I was just blanking on what the P could have been."
86850,"Joel Spolsky","What type of colorblindness does he have?"
86863,"Joel Spolsky","There's no definitive answer, but there is a question on Stack Overflow that might be relevant to your interests: http://stackoverflow.com/questions/398586/how-to-determine-minimum-system-requirements"
86976,"Joel Spolsky","Even if there are features not available in an existing product, quite a few of the open-source self-hosted solutions offer plugins, extensions, and other add-on capabilities. If there's a particular feature, you can see if anyone else has developed it, and if not, simply develop a plugin. That should save quite a bit of time, since you are only building things that don't exist."
87238,"Joel Spolsky","It isn't bound to any layer. You test the requirement against where ever that requirement exists. In many cases, you'll be testing multiple layers simultaneously, though, since the requirement describes the system as a whole (which, by definition, includes all layers)."
88284,"Joel Spolsky","That is a valid point, as well. I'm typically more security-focused than usability-focused, but if you did want to expose a new version of your system for acceptance testing (perhaps by clients, or as part of a public beta), then yes, a public-facing environment would be required."
89912,"Joel Spolsky","How are you forced to write bad code? Why can't you stand up, stop putting your name to bad code, and explain the problem, the solution, the cost in terms of time, effort, and money, and the benefits of fixing the problems now to your superiors?"
90989,"Joel Spolsky","The first sentence here is important. Make sure that you are actually following the agreed-upon standards, and not just making changes because you like them."
91089,"Joel Spolsky","I think that a progress bar should only be used if the duration or total tasks is known. Otherwise, something more indeterminate should be used."
91123,"Joel Spolsky","Actually, there is an IEEE standard definition of "scripting language"". I'd have to look up the exact phrasing"
91123,"Joel Spolsky","@Charles E. Grant I thought the definition was either in the IEEE Glossary or the SWEBOK, but I haven't found it. That wasn't the exact phrasing, but it's pretty close. Either way, it is pretty accuarate because it specifically isolates languages like sed, awk, bash scripting, Windows batch scripts, and so on from more robust languages like Python and Ruby (which have the capability to be scripting languages, but also much more)."
91759,"Joel Spolsky","I don't understand this. There's a significant body of research on software quality, especially with regards to cost and effort. I could pull a half dozen books from my bookshelf alone that have chapters or sections on software quality or controlling costs of software projects with a mention of defect elimination or reduction."
91839,"Joel Spolsky","Also, there are files that must exist for the running of the application. Those would be exceptional conditions. If there's a file that you must have in order for the application to function, then there's no reason not to read from it and then handle the exception for the exceptional case. I believe it makes the intent more clear."
71080,"Joel Spolsky","Are you sure the word "design"" is attached? I've heard of upstream and downstream"
93711,"Joel Spolsky","Are you sure the sales team is "interfering""? Typically"
93729,"Joel Spolsky","Cost of version control software is not free. The software itself is might be free (depending on your selection), but in an organization that has nothing, you need training for the engineers, you might need hardware for the repositories to reside on, and if the organization rolls it out to everyone, an increase in IT funding to support the new hardware and software requirements. Not to mention the high risk of deploying process late in a project."
93729,"Joel Spolsky","The edit makes it much better."
93731,"Joel Spolsky","I agree with @Victor Braga. It's not about when the book was written, but it's about how much the language has changed. Java has changed a lot in the last 5-10 years. However, C has not. Your 5 year old Java books are pretty much worthless. However, your first edition of the K&R C book from 1978 is far more up-to-date (although it's not 100% accurate, and neither is the second edition from 1988). The main factor is how much the language and supporting tools have changed between the publication of the book and when you want to use the book."
93730,"Joel Spolsky","It depends on how you define fundamentals. 5-10 years ago, things like generics, autoboxing, enumerations, varargs, and the for-each loop were new or didn't exist yet. I believe that those features fundamentally changed how you write good, high quality, readable, and maintainable software in Java. Not to mention, a number of standard functions wouldn't be covered because people would have to roll their own. Why learn 5-10 year old practices and habits that you'll just have to break and learn new techniques?"
93730,"Joel Spolsky","@World Engineer - That's scary. 12 years ago was 1999, which means Java 1.2 was out. After that, changes were made to RMI, JNDI became core, the assert keyword was added, changes were made to regex, and the NIO and logging APIs, generics, Scanner class, autoboxing, enums, varargs, and the for-each loop were added. Not to mention changes to AWT, Swing, JDBC, and the compiler and JIT compiler. That university is teaching bad habits to anyone who reads that book. I would have to question the value of anyone who graduates from that program if they can't use adequate resources for the first courses"
93730,"Joel Spolsky","@Pete We used or discussed generics, Scanner, enums, autoboxing, and Swing in the first two quarters (about a semester and a half) of my first-year CS sequence."
93762,"Joel Spolsky","The first part is true, but I don't agree with the second part. A book on Java is typically going to teach you how to build with Java, not design a system that is going to eventually be implemented in Java. And also, comparing a relatively unchanging language (like C) to a fast-changing language (like Java) is flawed."
93737,"Joel Spolsky","Management does, but it's always easier to get management's attention if you have a group of people saying something, rather than an individual."
93779,"Joel Spolsky","Actually, no. It's an almost perfect match to Steve McConnell's Waterfall with Subprojects. The only difference is WwS is typically done with teams for each component so they are done simultaneously, while @Ricky Robinson was working alone so did one at a time."
93780,"Joel Spolsky","No, it's not truly iterative. To be truly iterative, you need to integrate and deploy at the end of every iteration. Iterative is really a sequence of waterfalls, one after another, each ending with a testable and (possibly) deployable system."
93780,"Joel Spolsky","Yeah. I did at first, which is why I changed my thought from spiral to Waterfall with Subprojects. Although it's hard to fit a methodology designed to account for team activities to a single person."
93781,"Joel Spolsky","That's what I thought at first, but it's not exactly the spiral model. The spiral model is for a single unified system that's being built. The question mentions four distinct applications, each was built with a single waterfall. If the four subsystems were treated as a single unit and built simultaneously as-needed, then it would be much closer to spiral."
93736,"Joel Spolsky","No. Client-centric, appears to me, to refer to applications that reside only on a client (and perhaps might access data stored remotely by querying a remote data store or dabase). Client-server, n-tier architecture, and the others are all distributed systems. Client-centric is either (1) non-distributed or (2) performs computation on client-side, with a "dumb"" data store that might be shared. However"
95334,"Joel Spolsky","I would recommend this approach. It leverages polymorphism and decouples the clients from the implementation. OO design the way it was meant to be."
95513,"Joel Spolsky","@Pierre You should expand on that and make it an answer."
95606,"Joel Spolsky","@Dean You have enough reputation to edit. That's the whole point of allowing other users to edit questions - to make them viable to the community. As long as the author's original intent is not disturbed, I have no problems editing other people's postings. If more people took this approach, we would have far fewer closed questions, I think."
95606,"Joel Spolsky","@Alex Rants are not acceptable here. See the FAQ (http://programmers.stackexchange.com/faq#dontask). If you have a question, ask it with only the background necessary to answer the question, minus any ranting or raving."
95540,"Joel Spolsky","Is evaluating how well someone knows functional programming any different than evaluating how well someone knows object-oriented programming, procedural programming, or aspect-oriented programming?"
95444,"Joel Spolsky","Rather than making a new question, you should edit your existing question and try to get it reopened. That's generally the "best practice"" on Stack Exchanges.""
95708,"Joel Spolsky","@IkerB If you find an answer good, you should upvote it. If you find an answer that best answers all of your questions, you should accept it by clicking the checkmark next to it."
95708,"Joel Spolsky","@MadKeithV With the exception of Refactoring, they are were all required reading when I was getting my degree in SE. Refactoring was pointed out as a good book to read in at least one course, though. All of them are sitting on my bookshelf at home, most having been opened recently. I just can't bring myself to bring them to the office, since I might want them when I'm working on something at home."
95708,"Joel Spolsky","@MadKeithV That is discussed in the first part of the book, before the pattern definitions. At least, it is in the printing that I have, I'm not sure about earlier printings."
95749,"Joel Spolsky","What are you doing besides posting jobs on job boards? Unless I was explicitly interested in working for the company, most of the jobs I've applied to weren't through a posting, but by the company reaching out to me (coming to my university, emailing me). Very rarely have I ever browsed job postings. Perhaps your HRM practices as a whole should be examined, but that's a little off-topic for Programmers."
